"source","id","name","lat","lon"
"unp","Glasgow-1","Springburn Allotments","55.8919821967099","-4.23654848540312"
"unp","Glasgow-2","North Kelvin Meadow","55.882687280078","-4.28750042712853"
"unp","Newcastle-1","Gosforth Nature Reserve","55.0235207349298","-1.60017519915712"
"unp","Newcastle-2","Gosforth Nature Reserve Visitor Center","55.0228762274821","-1.59548923337622"
"unp","device-1-pond","Bristol Community Gardens - Pond","51.4065617475045","-2.59127005314544"
"unp","device-2-orchard","Bristol Community Gardens - Orchard","51.4065581175757","-2.59198885349159"
"unp","device-3-church","Bristol Community Gardens - Fence near Church","51.4055748990642","-2.590826021636"
"unp","ewb-plymouth-central-park","Plymouth Central Park","50.3849528600125","-4.14701794974317"
"unp","ewb-askham-site1","Askham Bog Tree","53.9299421693922","-1.12013774294426"
"unp","ewb-askham-site2-NearWoodPond","Askham Bog Pond","53.9299421693922","-1.12013774294426"
"unp","ewb-askham-site3","Askham Bog Field","53.9299421693922","-1.12013774294426"
